Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion
27,C063,9,2,8/22/2023,11:16:28 AM,8/30/2023,7:59:12 AM,Awka,Burial
28,C088,42,3,5/5/2023,3:25:25 AM,5/10/2023,7:55:04 AM,Asaba,All Occasions
29,C064,10,5,9/22/2023,1:06:22 AM,10/1/2023,2:29:16 PM,Hadejia,Birthday
30,C044,23,4,1/13/2023,9:23:33 AM,1/15/2023,1:36:58 PM,Oshogbo,Anniversary
31,C029,7,5,2/28/2023,1:13:22 PM,3/3/2023,11:35:49 PM,Oyo,Thanksgiving
32,C065,7,5,3/4/2023,3:36:41 PM,3/5/2023,3:54:10 PM,Zaria,Thanksgiving
33,C047,8,3,4/15/2023,1:37:27 AM,4/25/2023,2:13:27 AM,Biu,Anniversary
34,C071,17,2,10/1/2023,10:58:15 PM,10/5/2023,5:36:46 AM,Talata Mafara,Anniversary
35,C055,7,5,3/2/2023,4:10:26 PM,3/5/2023,3:00:40 PM,Zaria,Thanksgiving
36,C029,66,1,3/4/2023,10:28:53 AM,3/14/2023,8:14:49 AM,Oyo,Thanksgiving
37,C096,19,5,2/10/2023,11:01:04 AM,2/15/2023,9:19:36 PM,Azare,Valentine's Day
38,C067,37,3,11/11/2023,12:30:28 PM,11/14/2023,12:24:51 PM,Akure,Wedding
39,C054,43,2,11/2/2023,7:25:58 PM,11/4/2023,1:28:42 PM,Ondo,Wedding
40,C066,48,4,11/2/2023,2:15:10 PM,11/5/2023,4:29:54 AM,Sagamu,Wedding
41,C047,54,4,6/8/2023,7:19:50 PM,6/10/2023,2:29:42 PM,Biu,Anniversary
42,C080,35,1,2/26/2023,12:08:38 AM,3/7/2023,5:18:28 PM,Ikare,Thanksgiving
43,C046,49,3,2/12/2023,10:31:16 PM,2/16/2023,2:47:47 AM,Iseyin,Valentine's Day
44,C006,14,1,7/17/2023,9:57:56 PM,7/27/2023,10:48:09 AM,Zaria,Birthday
45,C097,61,5,4/28/2023,2:26:26 PM,4/29/2023,6:16:36 AM,Ondo,Anniversary
46,C059,22,4,4/18/2023,3:21:11 AM,4/23/2023,8:02:45 AM,Damaturu,All Occasions
47,C013,7,5,2/26/2023,1:04:28 PM,2/28/2023,6:00:20 AM,Lafia,Thanksgiving
48,C031,65,4,11/12/2023,8:00:30 PM,11/16/2023,5:31:42 AM,Hadejia,All Occasions
49,C020,43,1,11/11/2023,5:44:30 PM,11/18/2023,1:49:52 PM,Kaura Namoda,Wedding
50,C014,41,4,11/9/2023,6:56:33 AM,11/16/2023,10:19:22 AM,Keffi,Wedding
51,C036,10,1,3/15/2023,9:23:49 AM,3/19/2023,4:46:40 PM,Gombe,Birthday
52,C023,9,1,8/29/2023,7:55:22 PM,9/7/2023,4:22:02 AM,Gusau,Burial
53,C045,9,5,8/20/2023,8:25:45 AM,8/27/2023,5:59:31 AM,Sokoto,Burial
54,C059,30,1,4/13/2023,9:55:01 AM,4/23/2023,2:30:59 PM,Damaturu,Anniversary
55,C040,5,1,2/8/2023,8:01:07 AM,2/13/2023,7:42:58 AM,Birnin Kebbi,All Occasions
56,C095,58,5,2/8/2023,12:11:48 PM,2/13/2023,6:51:59 PM,Ijebu Ode,Valentine's Day
57,C090,35,5,2/26/2023,8:00:15 AM,3/6/2023,12:27:32 PM,Kano,Thanksgiving
58,C077,36,1,1/6/2023,2:51:30 AM,1/15/2023,8:26:18 AM,Ile Ife,Birthday
59,C041,51,5,6/26/2023,3:56:15 AM,6/28/2023,8:10:04 PM,Abeokuta,All Occasions
60,C023,5,2,12/13/2023,6:46:45 AM,12/15/2023,1:03:56 PM,Gusau,All Occasions
61,C058,44,2,11/8/2023,10:26:25 PM,11/10/2023,8:08:31 AM,Okene,Wedding
62,C074,6,4,3/2/2023,3:30:51 PM,3/6/2023,11:51:40 PM,Ibadan,Thanksgiving
63,C056,42,3,6/25/2023,6:22:38 AM,6/26/2023,3:40:04 PM,Idah,All Occasions
64,C015,25,1,6/12/2023,2:48:39 AM,6/15/2023,10:05:41 PM,Gombe,Anniversary
65,C033,54,2,9/1/2023,1:02:28 PM,9/11/2023,6:33:52 AM,Awka,Anniversary
66,C017,35,5,2/26/2023,9:00:44 PM,2/27/2023,6:25:58 AM,Biu,Thanksgiving
67,C047,10,2,7/6/2023,5:28:21 PM,7/14/2023,9:11:01 PM,Biu,Birthday
68,C050,34,4,8/25/2023,10:43:58 PM,8/31/2023,9:31:14 PM,Ikare,Burial
69,C091,12,4,9/2/2023,7:21:41 PM,9/8/2023,9:30:02 AM,Ijebu Igbo,Anniversary
70,C037,17,1,9/28/2023,4:21:09 AM,10/3/2023,11:44:33 AM,Bonny,Anniversary
71,C013,9,5,8/20/2023,4:32:06 PM,8/28/2023,1:31:32 PM,Lafia,Burial
72,C058,26,3,3/3/2023,3:49:26 PM,3/12/2023,5:34:10 PM,Okene,Thanksgiving
73,C057,26,1,3/3/2023,12:52:36 PM,3/11/2023,1:28:36 AM,Katsina-Ala,Thanksgiving
74,C024,31,3,1/1/2023,8:55:22 PM,1/7/2023,9:02:03 AM,Bonny,All Occasions
75,C009,65,2,4/6/2023,11:10:24 AM,4/9/2023,11:00:34 PM,Degema,All Occasions
76,C054,4,1,11/9/2023,5:13:11 AM,11/12/2023,12:34:50 AM,Ondo,Wedding
77,C028,42,3,8/5/2023,1:07:11 AM,8/13/2023,4:20:52 PM,Birnin Kebbi,All Occasions
78,C062,11,2,2/4/2023,1:00:09 PM,2/8/2023,8:31:15 PM,Azare,Valentine's Day
79,C010,40,2,6/1/2023,5:29:30 PM,6/11/2023,7:34:53 AM,Katsina,Anniversary
80,C008,39,4,1/2/2023,11:07:02 AM,1/11/2023,2:05:50 AM,Ibadan,All Occasions
81,C053,1,5,2/22/2023,6:29:21 PM,3/3/2023,7:09:32 AM,Borno,All Occasions
82,C038,70,3,8/4/2023,10:02:05 PM,8/5/2023,2:08:13 PM,Owerri,Birthday
83,C036,27,4,8/23/2023,7:12:01 PM,9/2/2023,2:44:00 PM,Gombe,Burial
84,C032,47,1,3/4/2023,3:31:50 AM,3/6/2023,7:02:20 AM,Akure,Thanksgiving
85,C041,26,2,3/4/2023,9:35:20 PM,3/14/2023,2:48:22 PM,Abeokuta,Thanksgiving
86,C046,39,4,9/13/2023,11:27:49 AM,9/22/2023,2:09:30 PM,Iseyin,All Occasions
87,C055,2,5,2/4/2023,1:17:21 PM,2/11/2023,11:06:36 PM,Zaria,Valentine's Day
88,C008,15,4,12/22/2023,10:02:31 AM,1/1/2024,12:17:55 PM,Ibadan,Anniversary
89,C060,3,5,2/12/2023,10:56:52 PM,2/13/2023,2:41:41 PM,Warri,Valentine's Day
90,C088,41,3,11/9/2023,8:54:16 PM,11/18/2023,5:48:35 PM,Asaba,Wedding
91,C061,6,2,2/27/2023,1:52:56 PM,3/5/2023,1:23:25 PM,Gombe,Thanksgiving
92,C100,18,5,5/15/2023,12:11:18 AM,5/25/2023,11:17:55 AM,Tambuwal,Birthday
93,C047,24,4,5/1/2023,5:50:59 PM,5/3/2023,6:35:56 PM,Biu,Birthday
94,C099,69,5,3/2/2023,2:51:08 PM,3/11/2023,8:14:49 AM,Biu,Thanksgiving
95,C039,70,4,5/29/2023,7:54:41 AM,6/3/2023,7:16:33 AM,Vandeikya,Birthday
96,C099,25,3,3/14/2023,3:00:21 PM,3/23/2023,8:56:06 AM,Biu,Anniversary
97,C041,41,1,11/3/2023,8:11:32 PM,11/8/2023,1:35:25 AM,Abeokuta,Wedding
98,C031,8,1,10/30/2023,3:26:00 PM,11/1/2023,4:34:28 PM,Hadejia,Anniversary
99,C050,38,3,11/4/2023,2:00:46 PM,11/5/2023,3:44:38 PM,Ikare,Birthday
100,C055,42,5,5/9/2023,5:50:07 AM,5/17/2023,5:30:26 AM,Zaria,All Occasions
101,C064,70,4,6/19/2023,3:56:52 AM,6/21/2023,6:18:37 AM,Hadejia,Birthday
102,C081,10,3,10/28/2023,7:34:14 PM,11/6/2023,7:06:35 AM,Oyo,Birthday
103,C097,18,3,2/1/2023,12:24:59 PM,2/8/2023,10:51:39 PM,Ondo,Birthday
104,C082,51,3,12/29/2023,1:45:29 AM,1/5/2024,12:15:28 AM,Otupko,All Occasions
105,C063,36,2,2/11/2023,2:57:36 AM,2/21/2023,1:34:10 AM,Awka,Birthday
106,C095,41,2,11/6/2023,5:55:46 PM,11/8/2023,11:00:28 PM,Ijebu Ode,Wedding
107,C041,4,3,11/6/2023,10:18:07 AM,11/12/2023,2:20:21 PM,Abeokuta,Wedding
108,C012,26,4,2/27/2023,9:03:26 AM,3/5/2023,8:03:05 AM,Akure,Thanksgiving
109,C074,50,5,2/27/2023,3:35:48 PM,3/1/2023,8:38:56 AM,Ibadan,Thanksgiving
110,C075,26,2,3/4/2023,11:23:44 AM,3/13/2023,8:27:31 AM,Yola,Thanksgiving
111,C009,8,3,6/21/2023,2:18:57 PM,6/25/2023,9:03:57 PM,Degema,Anniversary
112,C023,37,3,11/11/2023,6:36:04 AM,11/14/2023,3:50:59 PM,Gusau,Wedding
113,C032,1,3,11/14/2023,3:30:30 PM,11/23/2023,4:26:47 AM,Akure,All Occasions
114,C009,40,4,2/3/2023,4:03:15 PM,2/7/2023,2:22:48 AM,Degema,Anniversary
115,C095,57,1,4/28/2023,6:11:22 PM,5/5/2023,11:36:31 AM,Ijebu Ode,Birthday
116,C009,4,3,11/11/2023,2:28:05 PM,11/20/2023,5:25:26 AM,Degema,Wedding
117,C033,59,3,8/20/2023,6:50:05 PM,8/22/2023,3:43:01 AM,Awka,Burial
118,C035,62,1,2/27/2023,2:30:59 PM,3/5/2023,10:32:52 AM,Abuja,Thanksgiving
119,C010,6,4,3/4/2023,11:02:10 AM,3/12/2023,12:22:18 PM,Katsina,Thanksgiving
120,C050,61,1,12/25/2023,10:26:37 PM,12/31/2023,9:57:24 AM,Ikare,Anniversary
121,C048,33,3,2/5/2023,2:18:55 AM,2/9/2023,7:29:31 AM,Otupko,Valentine's Day
122,C083,24,5,10/3/2023,9:04:23 AM,10/13/2023,3:15:14 AM,Oshogbo,Birthday
123,C026,38,1,1/15/2023,12:31:09 AM,1/25/2023,4:58:43 AM,Kaduna,Birthday
124,C030,67,4,7/21/2023,8:44:55 AM,7/23/2023,5:23:44 AM,Ondo,Anniversary
125,C020,31,2,3/19/2023,9:12:11 AM,3/25/2023,2:36:11 PM,Kaura Namoda,All Occasions
126,C040,19,5,2/4/2023,2:28:24 AM,2/13/2023,1:16:38 PM,Birnin Kebbi,Valentine's Day
127,C051,60,4,11/2/2023,2:04:38 PM,11/3/2023,7:25:01 PM,Bauchi,Wedding
128,C065,12,3,3/6/2023,4:50:28 PM,3/13/2023,3:11:19 PM,Zaria,Anniversary
129,C051,67,2,2/17/2023,5:21:30 AM,2/20/2023,8:17:32 AM,Bauchi,Anniversary
130,C070,10,5,4/22/2023,1:32:41 PM,4/27/2023,10:01:54 PM,Shendam,Birthday
131,C078,3,5,2/4/2023,8:30:50 PM,2/11/2023,8:29:03 AM,Port Harcourt,Valentine's Day
132,C045,49,4,2/4/2023,11:23:41 PM,2/13/2023,7:55:48 PM,Sokoto,Valentine's Day
133,C018,43,5,11/10/2023,3:51:54 PM,11/16/2023,11:22:51 AM,Borno,Wedding
134,C036,69,5,3/5/2023,7:12:46 PM,3/14/2023,4:58:29 AM,Gombe,Thanksgiving
135,C087,30,2,12/13/2023,10:20:09 AM,12/14/2023,3:43:20 PM,Dutse,Anniversary
136,C036,56,1,9/5/2023,4:08:59 PM,9/9/2023,10:12:18 PM,Gombe,Anniversary
137,C070,47,2,3/5/2023,4:06:24 PM,3/11/2023,7:29:21 AM,Shendam,Thanksgiving
138,C022,57,4,3/11/2023,9:33:56 AM,3/18/2023,6:02:40 AM,Dutse,Birthday
139,C055,54,4,5/11/2023,4:14:45 AM,5/16/2023,6:12:44 PM,Zaria,Anniversary
140,C015,47,1,3/4/2023,6:19:35 AM,3/13/2023,9:29:35 PM,Gombe,Thanksgiving
141,C062,35,4,2/28/2023,3:55:06 AM,3/10/2023,2:31:56 AM,Azare,Thanksgiving
142,C029,23,2,10/23/2023,2:31:13 AM,10/27/2023,4:24:16 AM,Oyo,Anniversary
143,C087,66,2,2/28/2023,7:37:18 AM,3/10/2023,2:49:54 PM,Dutse,Thanksgiving
144,C090,51,5,1/18/2023,9:01:03 AM,1/23/2023,3:23:15 AM,Kano,All Occasions
145,C055,59,5,8/29/2023,4:52:56 PM,9/3/2023,1:04:25 PM,Zaria,Burial
146,C030,52,5,2/13/2023,6:23:55 PM,2/16/2023,4:07:37 AM,Ondo,Valentine's Day
147,C080,8,4,3/17/2023,7:28:15 PM,3/23/2023,1:51:11 PM,Ikare,Anniversary
148,C046,24,3,12/5/2023,2:09:08 AM,12/7/2023,8:57:38 AM,Iseyin,Birthday
149,C008,5,3,10/6/2023,11:23:09 PM,10/9/2023,8:09:12 PM,Ibadan,All Occasions
150,C092,27,5,8/26/2023,7:18:17 AM,8/29/2023,4:56:13 PM,Yauri,Burial
151,C051,43,1,11/3/2023,9:42:26 PM,11/10/2023,3:56:02 AM,Bauchi,Wedding
152,C084,51,2,2/27/2023,10:48:51 AM,3/5/2023,4:39:22 PM,Tambuwal,All Occasions
153,C094,16,4,3/4/2023,12:15:00 PM,3/10/2023,6:04:43 AM,Oyo,Thanksgiving
154,C049,45,5,11/21/2023,11:14:18 PM,11/25/2023,2:04:59 AM,Nasarawa,Birthday
155,C023,23,3,5/1/2023,2:46:58 PM,5/6/2023,12:00:30 AM,Gusau,Anniversary
156,C030,61,2,2/9/2023,8:20:50 AM,2/12/2023,10:49:14 AM,Ondo,Anniversary
157,C019,35,3,2/26/2023,12:44:17 PM,3/6/2023,11:35:44 AM,Jos,Thanksgiving
158,C007,35,2,3/3/2023,3:40:17 PM,3/8/2023,2:53:01 AM,Ijebu Igbo,Thanksgiving
159,C095,43,3,11/9/2023,9:31:39 PM,11/11/2023,4:55:56 AM,Ijebu Ode,Wedding
160,C037,36,3,6/2/2023,12:28:57 AM,6/10/2023,7:52:59 AM,Bonny,Birthday
161,C054,58,3,2/13/2023,3:08:06 AM,2/14/2023,11:12:01 PM,Ondo,Valentine's Day
162,C050,55,3,8/27/2023,6:14:31 AM,9/5/2023,3:53:45 PM,Ikare,Burial
163,C083,54,4,2/17/2023,7:50:10 PM,2/25/2023,10:20:16 AM,Oshogbo,Anniversary
164,C063,14,5,4/25/2023,2:04:02 AM,4/27/2023,11:49:33 AM,Awka,Birthday
165,C058,40,5,8/6/2023,1:11:16 PM,8/10/2023,8:37:14 AM,Okene,Anniversary
166,C035,4,3,11/7/2023,11:05:28 PM,11/10/2023,6:12:46 AM,Abuja,Wedding
167,C019,37,4,11/4/2023,1:26:51 AM,11/7/2023,3:16:27 PM,Jos,Wedding
168,C092,35,2,3/4/2023,3:36:03 PM,3/7/2023,11:02:42 AM,Yauri,Thanksgiving
169,C051,3,2,2/6/2023,10:28:57 AM,2/16/2023,1:26:19 AM,Bauchi,Valentine's Day
170,C040,32,2,3/21/2023,11:58:13 AM,3/27/2023,5:14:07 AM,Birnin Kebbi,Birthday
171,C071,54,3,6/30/2023,11:47:49 AM,7/8/2023,12:27:06 PM,Talata Mafara,Anniversary
172,C070,62,4,3/3/2023,4:40:04 AM,3/8/2023,5:12:47 AM,Shendam,Thanksgiving
173,C072,58,2,2/7/2023,11:15:37 PM,2/13/2023,1:51:53 AM,Ijebu Igbo,Valentine's Day
174,C048,4,3,11/3/2023,3:39:20 PM,11/13/2023,6:06:46 PM,Otupko,Wedding
175,C042,31,1,10/13/2023,1:17:47 AM,10/20/2023,7:22:52 AM,Ilorin,All Occasions
176,C039,17,2,3/10/2023,3:34:46 AM,3/16/2023,5:24:51 PM,Vandeikya,Anniversary
177,C085,62,4,3/5/2023,1:49:12 AM,3/7/2023,2:50:42 PM,Owo,Thanksgiving
178,C097,61,1,11/14/2023,11:04:31 PM,11/16/2023,2:14:23 AM,Ondo,Anniversary
179,C078,47,3,2/28/2023,3:16:02 PM,3/10/2023,2:31:07 PM,Port Harcourt,Thanksgiving
180,C058,55,2,8/24/2023,4:40:33 PM,8/27/2023,8:45:14 AM,Okene,Burial
181,C064,10,4,8/28/2023,5:55:22 AM,9/6/2023,4:53:28 AM,Hadejia,Birthday
182,C070,2,1,2/8/2023,11:21:30 PM,2/15/2023,6:07:33 AM,Shendam,Valentine's Day
183,C082,48,3,11/9/2023,6:11:41 PM,11/11/2023,3:29:26 PM,Otupko,Wedding
184,C027,52,3,2/11/2023,9:34:53 PM,2/20/2023,5:00:29 AM,Ogun,Valentine's Day
185,C068,18,1,5/7/2023,7:10:45 AM,5/17/2023,8:00:43 PM,Tambuwal,Birthday
186,C048,61,1,5/9/2023,9:09:44 AM,5/11/2023,12:16:23 AM,Otupko,Anniversary
187,C008,49,5,2/11/2023,9:10:41 PM,2/16/2023,9:34:09 AM,Ibadan,Valentine's Day
188,C067,22,5,9/18/2023,1:38:33 AM,9/25/2023,2:02:12 PM,Akure,All Occasions
189,C016,57,1,11/19/2023,5:22:19 PM,11/22/2023,1:21:54 PM,Dutse,Birthday
190,C096,60,5,11/9/2023,12:33:49 PM,11/13/2023,1:41:24 PM,Azare,Wedding
191,C012,24,3,10/12/2023,6:13:06 PM,10/17/2023,8:50:02 AM,Akure,Birthday
192,C060,64,5,8/20/2023,12:28:32 PM,8/21/2023,2:11:18 AM,Warri,Burial
193,C038,42,4,8/16/2023,11:44:29 PM,8/19/2023,2:34:02 AM,Owerri,All Occasions
194,C030,58,4,2/8/2023,11:41:29 AM,2/9/2023,4:54:30 AM,Ondo,Valentine's Day
195,C037,67,5,4/10/2023,5:33:53 AM,4/17/2023,7:51:40 AM,Bonny,Anniversary
196,C063,30,2,8/5/2023,9:37:50 AM,8/13/2023,8:58:06 AM,Awka,Anniversary
197,C095,45,2,3/22/2023,6:38:42 PM,3/26/2023,3:30:06 AM,Ijebu Ode,Birthday
198,C090,24,2,8/27/2023,10:33:37 PM,9/4/2023,1:09:50 AM,Kano,Birthday
199,C093,70,5,8/16/2023,1:54:30 AM,8/19/2023,4:24:59 PM,Bonny,Birthday
200,C067,23,5,1/3/2023,8:04:16 PM,1/8/2023,11:18:52 PM,Akure,Anniversary
201,C004,55,4,8/24/2023,4:40:14 AM,8/30/2023,3:52:28 AM,Gusau,Burial
202,C089,36,5,7/27/2023,8:13:48 AM,8/1/2023,3:02:01 AM,Owo,Birthday
203,C039,9,5,8/29/2023,5:39:00 AM,9/8/2023,10:40:14 PM,Vandeikya,Burial
204,C062,10,4,7/3/2023,10:46:43 AM,7/9/2023,6:29:03 AM,Azare,Birthday
205,C022,46,5,7/6/2023,5:17:21 AM,7/9/2023,11:47:12 AM,Dutse,Anniversary
206,C099,68,3,2/11/2023,10:12:16 PM,2/13/2023,12:42:01 PM,Biu,Valentine's Day
207,C078,6,2,3/5/2023,1:13:16 AM,3/7/2023,12:15:56 PM,Port Harcourt,Thanksgiving
208,C001,18,5,4/2/2023,4:30:47 AM,4/12/2023,7:06:36 AM,Port Harcourt,Birthday
209,C071,70,2,6/22/2023,12:44:32 AM,6/23/2023,9:44:32 PM,Talata Mafara,Birthday
210,C095,32,4,12/10/2023,12:46:32 AM,12/15/2023,8:02:35 AM,Ijebu Ode,Birthday
211,C043,31,5,10/22/2023,6:14:59 PM,10/29/2023,5:40:03 PM,Minna,All Occasions
212,C093,7,2,2/28/2023,7:14:40 AM,3/5/2023,8:01:45 PM,Bonny,Thanksgiving
213,C022,42,5,2/14/2023,8:26:18 AM,2/24/2023,8:58:11 AM,Dutse,All Occasions
214,C099,13,3,3/1/2023,7:49:55 AM,3/7/2023,8:27:25 AM,Biu,Thanksgiving
215,C098,17,1,5/21/2023,3:54:26 AM,5/24/2023,12:37:34 PM,Funtua,Anniversary
216,C004,23,1,10/3/2023,3:46:35 PM,10/8/2023,8:46:28 PM,Gusau,Anniversary
217,C042,53,4,8/27/2023,3:04:34 AM,8/30/2023,4:42:19 PM,Ilorin,Burial
218,C061,31,4,6/13/2023,10:55:11 PM,6/16/2023,3:06:01 AM,Gombe,All Occasions
219,C027,16,5,3/5/2023,12:36:07 AM,3/11/2023,10:36:05 AM,Ogun,Thanksgiving
220,C001,26,3,3/6/2023,12:26:54 PM,3/15/2023,2:41:52 PM,Port Harcourt,Thanksgiving
221,C076,28,4,8/21/2023,2:11:04 AM,8/30/2023,2:00:35 PM,Kano,Burial
222,C099,6,5,2/26/2023,5:57:25 AM,3/7/2023,6:20:50 PM,Biu,Thanksgiving
223,C051,49,2,2/5/2023,8:44:25 AM,2/13/2023,10:17:59 AM,Bauchi,Valentine's Day
224,C028,34,1,8/24/2023,9:01:58 PM,8/29/2023,2:06:40 AM,Birnin Kebbi,Burial
225,C093,52,5,2/5/2023,12:12:26 PM,2/6/2023,6:01:06 PM,Bonny,Valentine's Day
226,C064,14,2,9/8/2023,8:48:50 AM,9/12/2023,11:20:36 AM,Hadejia,Birthday
227,C004,24,4,12/25/2023,6:50:42 PM,12/26/2023,2:09:44 PM,Gusau,Birthday
228,C035,36,1,3/10/2023,6:40:52 PM,3/11/2023,10:30:00 AM,Abuja,Birthday
229,C079,49,3,2/11/2023,8:55:38 PM,2/20/2023,9:32:50 AM,Plateau,Valentine's Day
230,C053,64,3,8/27/2023,8:27:50 AM,9/1/2023,1:35:49 AM,Borno,Burial
231,C093,64,3,8/24/2023,9:15:18 AM,8/28/2023,9:13:01 PM,Bonny,Burial
232,C044,28,3,8/22/2023,12:06:09 PM,8/23/2023,9:00:02 AM,Oshogbo,Burial
233,C098,64,4,8/26/2023,10:15:19 PM,8/30/2023,4:07:39 AM,Funtua,Burial
234,C097,42,1,3/24/2023,9:18:12 PM,4/1/2023,12:36:53 AM,Ondo,All Occasions
235,C071,56,2,2/26/2023,2:26:46 PM,3/3/2023,11:26:23 PM,Talata Mafara,Anniversary
236,C044,23,5,9/3/2023,6:33:52 AM,9/11/2023,2:10:18 AM,Oshogbo,Anniversary
237,C024,55,1,8/26/2023,9:23:53 AM,8/30/2023,8:19:20 AM,Bonny,Burial
238,C083,26,4,3/5/2023,7:56:43 AM,3/11/2023,8:18:17 PM,Oshogbo,Thanksgiving
239,C088,27,3,8/29/2023,8:33:45 AM,9/6/2023,1:23:08 PM,Asaba,Burial
240,C074,5,5,3/25/2023,6:03:38 AM,3/30/2023,3:43:28 PM,Ibadan,All Occasions
241,C067,20,2,9/5/2023,9:52:16 AM,9/7/2023,8:58:21 AM,Akure,Anniversary
242,C012,21,1,8/23/2023,10:24:46 AM,8/31/2023,4:02:32 PM,Akure,Burial
243,C043,3,1,2/5/2023,8:50:37 PM,2/10/2023,12:30:54 PM,Minna,Valentine's Day
244,C041,65,3,3/20/2023,3:06:01 PM,3/30/2023,7:06:40 AM,Abeokuta,All Occasions
245,C020,50,3,3/5/2023,6:25:26 AM,3/11/2023,9:30:30 AM,Kaura Namoda,Thanksgiving
246,C017,69,5,2/28/2023,11:24:33 PM,3/8/2023,12:38:49 AM,Biu,Thanksgiving
247,C052,23,4,10/11/2023,5:58:48 AM,10/16/2023,2:58:46 AM,Benin City,Anniversary
248,C044,19,5,2/8/2023,8:43:41 AM,2/10/2023,4:15:01 AM,Oshogbo,Valentine's Day
249,C003,14,2,9/10/2023,10:22:16 PM,9/19/2023,11:17:36 PM,Ondo,Birthday
250,C086,37,5,11/8/2023,3:07:27 PM,11/9/2023,1:32:06 AM,Ede,Wedding
251,C051,7,4,2/28/2023,12:31:48 AM,3/2/2023,12:19:44 AM,Bauchi,Thanksgiving
252,C040,69,2,2/26/2023,5:41:28 AM,2/28/2023,8:11:16 AM,Birnin Kebbi,Thanksgiving
253,C010,68,2,2/12/2023,2:24:46 PM,2/14/2023,5:39:27 AM,Katsina,Valentine's Day
254,C093,1,5,7/7/2023,12:09:44 AM,7/15/2023,5:27:49 AM,Bonny,All Occasions
255,C092,45,2,12/27/2023,3:42:35 AM,1/6/2024,9:23:14 AM,Yauri,Birthday
256,C065,4,5,11/6/2023,7:13:49 PM,11/14/2023,6:05:55 PM,Zaria,Wedding
257,C077,21,3,8/22/2023,3:42:59 PM,8/24/2023,10:39:39 PM,Ile Ife,Burial
258,C044,46,5,4/16/2023,5:40:39 AM,4/20/2023,8:05:32 PM,Oshogbo,Anniversary
259,C001,62,1,3/5/2023,3:21:54 PM,3/10/2023,12:04:01 AM,Port Harcourt,Thanksgiving
260,C100,69,5,3/6/2023,1:06:11 PM,3/16/2023,10:22:30 PM,Tambuwal,Thanksgiving
261,C041,37,3,11/6/2023,2:03:50 PM,11/12/2023,8:17:47 PM,Abeokuta,Wedding
262,C038,49,3,2/7/2023,8:05:16 AM,2/11/2023,1:06:57 AM,Owerri,Valentine's Day
263,C081,57,4,3/12/2023,9:35:10 AM,3/13/2023,3:22:01 PM,Oyo,Birthday
